id;name;slug;provinceId
11.01;Aceh Selatan;aceh-selatan;1
11.02;Aceh Tenggara;aceh-tenggara;1
11.03;Aceh Timur;aceh-timur;1
11.04;Aceh Tengah;aceh-tengah;1
11.05;Aceh Barat;aceh-barat;1
11.06;Aceh Besar;aceh-besar;1
11.07;Pidie;pidie;1
11.08;Aceh Utara;aceh-utara;1
11.09;Simeulue;simeulue;1
11.10;Aceh Singkil;aceh-singkil;1
11.11;Bireuen;bireuen;1
11.12;Aceh Barat Daya;aceh-barat-daya;1
11.13;Gayo Lues;gayo-lues;1
11.14;Aceh Jaya;aceh-jaya;1
11.15;Nagan Raya;nagan-raya;1
11.16;Aceh Tamiang;aceh-tamiang;1
11.17;Bener Meriah;bener-meriah;1
11.18;Pidie Jaya;pidie-jaya;1
11.71;Kota Banda Aceh;kota-banda-aceh;1
11.72;Kota Sabang;kota-sabang;1
11.73;Kota Lhokseumawe;kota-lhokseumawe;1
11.74;Kota Langsa;kota-langsa;1
11.75;Kota Subulussalam;kota-subulussalam;1
12.01;Tapanuli Tengah;tapanuli-tengah;2
12.02;Tapanuli Utara;tapanuli-utara;2
12.03;Tapanuli Selatan;tapanuli-selatan;2
12.04;Nias;nias;2
12.05;Langkat;langkat;2
12.06;Karo;karo;2
12.07;Deli Serdang;deli-serdang;2
12.08;Simalungun;simalungun;2
12.09;Asahan;asahan;2
12.10;Labuhanbatu;labuhanbatu;2
12.11;Dairi;dairi;2
12.12;Toba;toba;2
12.13;Mandailing Natal;mandailing-natal;2
12.14;Nias Selatan;nias-selatan;2
12.15;Pakpak Bharat;pakpak-bharat;2
12.16;Humbang Hasundutan;humbang-hasundutan;2
12.17;Samosir;samosir;2
12.18;Serdang Bedagai;serdang-bedagai;2
12.19;Batu Bara;batu-bara;2
12.20;Padang Lawas Utara;padang-lawas-utara;2
12.21;Padang Lawas;padang-lawas;2
12.22;Labuhanbatu Selatan;labuhanbatu-selatan;2
12.23;Labuhanbatu Utara;labuhanbatu-utara;2
12.24;Nias Utara;nias-utara;2
12.25;Nias Barat;nias-barat;2
12.71;Kota Medan;kota-medan;2
12.72;Kota Pematangsiantar;kota-pematangsiantar;2
12.73;Kota Sibolga;kota-sibolga;2
12.74;Kota Tanjung Balai;kota-tanjung-balai;2
12.75;Kota Binjai;kota-binjai;2
12.76;Kota Tebing Tinggi;kota-tebing-tinggi;2
12.77;Kota Padangsidimpuan;kota-padangsidimpuan;2
12.78;Kota Gunungsitoli;kota-gunungsitoli;2
13.01;Pesisir Selatan;pesisir-selatan;3
13.02;Solok;solok;3
13.03;Sijunjung;sijunjung;3
13.04;Tanah Datar;tanah-datar;3
13.05;Padang Pariaman;padang-pariaman;3
13.06;Agam;agam;3
13.07;Lima Puluh Kota;lima-puluh-kota;3
13.08;Pasaman;pasaman;3
13.09;Kepulauan Mentawai;kepulauan-mentawai;3
13.10;Dharmasraya;dharmasraya;3
13.11;Solok Selatan;solok-selatan;3
13.12;Pasaman Barat;pasaman-barat;3
13.71;Kota Padang;kota-padang;3
13.72;Kota Solok;kota-solok;3
13.73;Kota Sawahlunto;kota-sawahlunto;3
13.74;Kota Padang Panjang;kota-padang-panjang;3
13.75;Kota Bukittinggi;kota-bukittinggi;3
13.76;Kota Payakumbuh;kota-payakumbuh;3
13.77;Kota Pariaman;kota-pariaman;3
14.01;Kampar;kampar;4
14.02;Indragiri Hulu;indragiri-hulu;4
14.03;Bengkalis;bengkalis;4
14.04;Indragiri Hilir;indragiri-hilir;4
14.05;Pelalawan;pelalawan;4
14.06;Rokan Hulu;rokan-hulu;4
